title,keywords,disciplines,document_type,doi,volnum,issnum,fpage,lpage,distribution_license,abstract,comments,fulltext_url,peer_reviewed,publication_date,rights,license_statement,filename,erratum,publisher,issn,journal_id,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,calc_url,context_key,issue,ctmtime
Volume 23 Issue 3 Back Matter,,Archival Science; Cataloging and Metadata; Collection Development and Management; Education; Information Literacy; Library and Information Science; Scholarly Communication; Scholarly Publishing,back_matter,https://doi.org/10.7710/1093-7374.1910,,,56,56,,,,,TRUE,2018-02-28 00:00,© 2017 OLA,,olaq1910,,Pacific University Libraries,1093-7374,olaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss3/11,11666549,olaq/vol23/iss3,1519852424
"Sushi, STEM, or Goat Yoga: Successful Library Programming","Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulating 101, procrastination, takeover, nerf, youth, family",Archival Science; Cataloging and Metadata; Collection Development and Management; Education; Information Literacy; Library and Information Science; Scholarly Communication; Scholarly Publishing,full_issue,https://doi.org/10.7710/1093-7374.23.04,23,4,1,40,,"<p>Llamas, Adulting 101, Henna Art, Raptors, and Trivia. Most people in Oregon typically would not think of these words in connection with their local library. Yet, all of these are programs that have been served up in our local libraries just in the past year alone. With hundreds of programs covering even more diverse topics than these, perhaps the more typical things people think about when it comes to programs are an author talk, storytime, or book talk in the library. These are still staple library programs, but with this Oregon Library Association Quarterly issue we will be sharing some unique ideas that you can replicate at your library. From coffee and conversations to build community relationships to llamas (yes, llamas!) to encouraging upcycling, the common thread of all of the programs in this edition of the Oregon Library Association Quarterly is that they are replicable and they come with “Here’s what worked, here’s what didn’t work,” feedback from your colleagues to hopefully help you jump-start your own ideas of what is possible at your library. Each community is unique, and most librarians typically know their own community and what may or may not work well.</p>
<p>The library as a community center has been a widespread concept for libraries in Oregon as well as on the national and international front for decades, and it is one of the myriad of reasons libraries are simply not going away. Most programs are tied to literacy while others serve to fit a niche or gap in the community served. Programming in libraries today includes a literacy aspect that fits the core tenet of the library as a place where learning and developing literacy take place side by side and most libraries also include STEM, art, and other cultural programs that are important for the community both educationally and holistically. More often than not, programs fill a gap that the community may not have an option for otherwise.</p>",,,TRUE,2018-04-06 00:00,© 2018 OLA,,olaq1911,,Pacific University Libraries,1093-7374,olaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/1,11916452,olaq/vol23/iss4,1523037170
Volume 23 Issue 4 Table of Contents,,Archival Science; Cataloging and Metadata; Collection Development and Management; Education; Information Literacy; Library and Information Science; Scholarly Communication; Scholarly Publishing,table_of_contents,https://doi.org/10.7710/1093-7374.1912,23,4,2,2,,,,,TRUE,2018-04-06 00:00,© 2018 OLA,,olaq1912,,Pacific University Libraries,1093-7374,olaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/2,11916605,olaq/vol23/iss4,1523036339
Volume 23 Issue 4 Introduction,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulating 101, procrastination, takeover, nerf, youth, family, seaside public library",Adult and Continuing Education; Archival Science; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,introduction,https://doi.org/10.7710/1093-7374.1914,23,4,3,4,,"<p>Llamas, Adulting 101, Henna Art, Raptors, and Trivia. Most people in Oregon typically would not think of these words in connection with their local library. Yet, all of these are programs that have been served up in our local libraries just in the past year alone. With hundreds of programs covering even more diverse topics than these, perhaps the more typical things people think about when it comes to programs are an author talk, storytime, or book talk in the library. These are still staple library programs, but with this Oregon Library Association Quarterly issue we will be sharing some unique ideas that you can replicate at your library. From coffee and conversations to build community relationships to llamas (yes, llamas!) to encouraging upcycling, the common thread of all of the programs in this edition of the Oregon Library Association Quarterly is that they are replicable and they come with “Here’s what worked, here’s what didn’t work,” feedback from your colleagues to hopefully help you jump-start your own ideas of what is possible at your library. Each community is unique, and most librarians typically know their own community and what may or may not work well.</p>
<p>The library as a community center has been a widespread concept for libraries in Oregon as well as on the national and international front for decades, and it is one of the myriad of reasons libraries are simply not going away. Most programs are tied to literacy while others serve to fit a niche or gap in the community served. Programming in libraries today includes a literacy aspect that fits the core tenet of the library as a place where learning and developing literacy take place side by side and most libraries also include STEM, art, and other cultural programs that are important for the community both educationally and holistically. More often than not, programs fill a gap that the community may not have an option for otherwise. In my small town, the library often acts as a hub for cultural community experiences. Last year we had 8,000 attendees at our programs, which included diverse programs such as author talks, trivia nights, storytimes, and environmental events from the local Necanicum Watershed Council and North Coast Land Conservancy about our unique watershed and wildlife areas to teens learning to cook to building Raspberry Pi computers.</p>","<p>Esther Moberg is the current vice president/ president-elect of the Oregon Library Association. Esther is the Director of the Seaside Public Library and serves on the Clatsop Community College Board. She is the current chair of the Oregon Digital Library Consortium and the past chair of the board for Libraries Reading Outreach in Clatsop County. She earned her MLS from Emporia State University and her BS in Organization Administration from Northwestern University (St. Paul, MN). She has worked in public libraries, academic libraries, and an elementary school library. Her work in libraries has spanned over 19 years. She is a member of ALA and OLA, and she is also a public information officer for the City of Seaside.</p>",,TRUE,2018-04-06 00:00,© 2018 Esther Moberg,,olaq1914,,Pacific University Libraries,1093-7374,olaq,Esther,,Moberg,,emoberg@cityofseaside.us,Seaside Public Library,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/3,11916751,olaq/vol23/iss4,1532623818
Adulting 101: Know Your Audience,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulating 101, procrastination, takeover, nerf, youth, family, seaside public library",Adult and Continuing Education; Archival Science; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,article,https://doi.org/10.7710/1093-7374.1915,23,4,5,7,,"<p>During the winter of 2017, I began to see a common topic on library programming group threads centering around ideas such as teaching basic life skills to young and new adults that may not have been taught at home or school. Around the same time, Clara Piazzola, the library’s young adult assistant, came to me to share an idea that was buzzing around her library school discussion boards. She told me about a program idea that would teach young people necessary skills to help them survive in the grownup world. Talk about a coincidence! I gave her the go ahead, and she began planning.</p>
<p>Clara came up with the name, Adulting 101, and a six-month program outline. Planning each session, we chose to invite local speakers for a few of the topics that warranted professional facilitators. Flyers were displayed in the library and mailed to local bulletin boards and radio stations. Adulting 101 was posted to the library website, social media, and electronic calendars. We reserved the room, bought snacks, and were ready to launch.</p>
<p>The event post on our library’s Facebook page started a ripple effect that took us by surprise. We had Facebook likes and shares from tens of thousands of viewers. People were emailing and phoning our City Administrator, Library Director, and the library for more information. The local television station saw the post, called for an interview, and covered the first program. There were radio interviews. We had electronic inquiries and phone calls from across the country and then some. The American Library Association’s Programming Librarian asked for an article (Lucas, 2017). Adulting 101 was even mentioned on the morning talk show LiveKellyandRyan (Adulting 101 for Millenials [sic], 2017)!</p>","<p>Teresa grew up in the Willamette Valley, then moved to Southeast Alaska and raised a family. She began her library career in a small high school library on Prince of Wales Island. Realizing there had to be more to libraries than shelving books, Teresa Lucas began the journey to earn her Master’s in Library and Information Services degree. After fourteen years and several life-changing events, this non-traditional student graduated from the University of North Texas and landed her first professional library job as the branch manager in Dubois, Wyoming. With family still living in Sweet Home, Teresa was happy to return to Oregon, where she accepted the Assistant Director position at the North Bend Public Library. Teresa lives with her husband, son, daughter-in-law, three grandchildren, a dog, and a cat. They enjoy family, friends, road trips, the beach and gardening.</p>",,TRUE,2018-04-06 00:00,© 2018 Teresa Lucas,,olaq1915,,Pacific University Libraries,1093-7374,olaq,Teresa,,Lucas,,tlucas@coastlinelibrarynetwork.org,North Bend Public Library,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/4,11916817,olaq/vol23/iss4,1532623806
Unlock the Box at Your Library,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulting 101, procrastination, takeover, nerf, youth, family, Amanda Puetz, Eugene public library, puzzles, mystery",Adult and Continuing Education; Archival Science; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,article,https://doi.org/10.7710/1093-7374.1916,23,4,8,11,,"<p>Are you fascinated by the escape room craze sweeping the nation but unsure how to bring it to your library? An escape room is an immersive experience in which a group works through a series of themed clues and puzzles to solve a mystery and “escape” a room within a given amount of time, usually an hour. Libraries can provide a similar experience by having patrons open a series of locks on a hasp closing a single box. Patrons race the clock to open the box. Holding an Unlock the Box program at your library is more achievable than you might think. You need a few reusable supplies, a set of clues and puzzles around a central story, a space to convert, and an enjoyment of puzzles.</p>","<p>Amanda Puetz was raised in Albuquerque, New Mexico, where she developed a love for green chile, hot air balloons, and making books. She has a bachelor’s degree in Biology and a master’s degree in Library Science. At the library, she delights in teaching others to make books by hand and exploring our world with families through STEAM programming. In her spare time, she amuses her dog by picking out tunes on the ukulele.</p>",,TRUE,2018-04-08 00:00,© 2018 Amanda Puetz,,olaq1916,,Pacific University Libraries,1093-7374,olaq,Amanda,,Puetz,,Amanda.D.Puetz@ci.eugene.or.us,Eugene Public Library,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/5,11916937,olaq/vol23/iss4,1532623908
The Art of the Trade: A New/Old Take on Resource Sharing,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulting 101, procrastination, takeover, nerf, youth, family, ann scheppke, salem public library, money smart week, jean, swap, arts and crafts, thinking money, recycling, upcycling, community",Archival Science; Cataloging and Metadata; Collection Development and Management; Education; Information Literacy; Library and Information Science; Scholarly Communication; Scholarly Publishing,article,https://doi.org/10.7710/1093-7374.1917,23,4,12,15,,"<p>The Salem Public Library had been awarded a grant from the American Library Association and FINRA, the Financial Industry Regulatory Authority. The award included a six-week installation of a traveling exhibit called Thinking Money, designed to introduce basic concepts of financial literacy to teens, tweens, and young adults. The 50 libraries that received the Thinking Money grant were charged with partnering with community organizations to create at least four programs based on the exhibit’s theme.</p>
<p>Finding community partners was not at all difficult. Credit unions and financial planners were only too happy to conduct classes and give presentations, but I wanted to have at least one program that approached the topic a bit more obliquely, something that would soft-sell the benefits of good money management skills. Marion County Environmental Services turned out to be the perfect partner for this endeavor. MCES’s basic charge is to keep materials out of the waste stream. Through their innovative outreach activities, they challenge residents to reduce, reuse, and recycle. Their program director, Jessica Ramey, and I hatched a plan for a back-to-school blue jeans swap, reasoning that conservation of resources applies as much to the environment as it does to families’ wardrobes and bank accounts, and that people who would come to the library for free back-to-school clothes might not be the same people who would sign themselves up for a class on budgets or investments. Our theory was that if we could get people into the building for free jeans, they would discover the fabulous Thinking Money exhibit and perhaps learn something new.</p>","<p>Ann Scheppke has worked at Salem Public Library since 1986, primarily as a reference librarian, but more recently in Adult Services programming. Prior to that, she was a Documents Librarian at the Texas State Library.</p>",,TRUE,2018-04-06 00:00,© 2018 Ann Scheppke,,OLAQ-Winter-2017_12_15 Article 3 Ann Scheppke,,Pacific University Libraries,1093-7374,olaq,Ann,,Scheppke,,ascheppke@cityofsalem.net,Salem Public Library,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/6,11917210,olaq/vol23/iss4,1532623912
Pierce Library’s Night Against Procrastination,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulting 101, procrastination, takeover, nerf, youth, family, Sarah Ralston, eastern Oregon university, miniature, horse, study, students, advertising, pizza, waffles, a night against procrastination, tutor, research",Adult and Continuing Education; Archival Science; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,article,https://doi.org/10.7710/1093-7374.1918,23,4,16,19,,"<p>There is a reason we are probably all familiar with the term “all-nighter,” whether we work in academia or elsewhere. The tendency to procrastinate is so common; most of us are likely to have had the experience of writing a paper late into the night before it is due or making a last-ditch attempt to learn concepts the night before a final exam. There are many strategies for dealing with, preventing, or avoiding procrastination, but a group of students and tutors at the European University Viadrina (EUV) in Frankfurt/Oder, Germany, came up with a novel twist on the traditional all-nighter, turning it into a strategy instead of a last resort (Datig & Herkner, 2014).</p>
<p>Suggested by these students, the “Long Night Against Procrastination” originated through a Writing Center-Library collaboration at EUV, and many libraries in the U.S. and abroad have adopted the model (Landgraf, 2014). The general philosophy is that students pull the all-nighter before the last minute, getting on top of assignments and out in front of exams. The events are filled with organized study breaks, activities, food, and other incentives to participate, and they present an opportunity to build goodwill between students and library staff.</p>
<p>Eastern Oregon University’s Writing Center planned and held EOU’s first Night Against Procrastination, or NAP, in collaboration with the Learning Center (tutor services) in Winter 2016. The event ran from 5:00 p.m. on a Friday until 2:00 a.m. on Saturday, and it featured games and activities organized by tutors every 45 minutes, pizza at 6:00 p.m., and pancakes at midnight. When the second NAP event was held in the Learning Center the following year, librarians asked to participate, and two reference librarians from Pierce Library offered research assistance alongside tutors.</p>","<p>Sarah Ralston is an Assistant Professor and instruction librarian at Eastern Oregon University. She teaches information literacy credit courses and First Year Experience courses, and she does course-integrated library instruction for the Sciences. She enjoys working with students and doing collaborative projects with members of the university community and librarians around the state through the Information Literacy Advisory Group of Oregon.</p>",,TRUE,2018-04-06 00:00,© 2018 Sarah Ralston,,olaq1918,,Pacific University Libraries,1093-7374,olaq,Sarah,,Ralston,,sralston@eou.edu,Eastern Oregon University,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/7,11917328,olaq/vol23/iss4,1532623865
Building Community at the Library With Coffee and Conversation,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulting 101, procrastination, takeover, nerf, youth, family, Sarah Ralston, eastern Oregon university, miniature, horse, study, students, advertising, pizza, waffles, a night against procrastination, tutor, research",Adult and Continuing Education; Archival Science; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,article,https://doi.org/10.7710/1093-7374.1919,23,4,20,25,,"<p>As communities and individuals struggle with houselessness and housing insecurity, library staff must adapt in order to help our patrons fulfill needs. In 2013, Multnomah County Library (MCL) and the Multnomah County Department of County Human Services surveyed library patrons about library use. The survey identified that about 18.6 percent of visitors to Central Library—the county system’s main branch, located in downtown Portland— are people experiencing houselessness. These patrons visit the library more frequently than patrons who are not experiencing houselessness, and they tend to stay at the library longer than the latter group.</p>
<p>Because patrons experiencing houselessness may have negative experiences interacting with staff in businesses, government offices, and other public institutions like libraries, it’s important to start any engagement by building relationships. Staff members need to help these patrons find resources and library materials, assist them with account issues, and show them that the library is the right place for them by making them feel welcome. In order to address this need, staff looked for a way to build relationships between staff and patrons and to create a welcoming environment in the library.</p>","<p>Amy Honisett, MA, MSLIS, is the Staff Development Librarian at Multnomah County Library, where she enjoys supporting her colleagues’ professional development, exploring approaches to community engagement, and continuously learning.</p>
<p>Rachael Short, MLIS, is a Librarian at the Multnomah County Library in Portland, Oregon. She coordinates programming at the Central Library and outreach to adults in the downtown area.</p>
<p>Kate Schwab, MSLIS, is a Librarian at Multnomah County Library’s Central Library in downtown Portland, Oregon. Her focus is on serving patrons experiencing houselessness through outreach and programming. Coffee and Conversation day is her favorite day of the month.</p>",,TRUE,2018-04-06 00:00,"© 2018 Amy Honisett, et al.",,olaq1919,,Pacific University Libraries,1093-7374,olaq,Amy,,Honisett,,amyh@multcolib.org,Multnomah County Library,Rachael,,Short,,rachaels@multcolib.org,Multnomah County Library,Kate,,Schwab,,kates@multcolib.org,Multnomah County Library,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/8,11917582,olaq/vol23/iss4,1532623885
A New Use for the Makerspace,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulting 101, procrastination, takeover, nerf, youth, family, Diana Widdows, a new use for the makerspace, stem, standardized test, Smarter Balanced Assessment Consortium, sbac, test, tests, warrenton, grade, school, k-12, build, cars, prepare, context",Archival Science; Art Education; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,article,https://doi.org/10.7710/1093-7374.1920,23,4,26,29,,"<p>If you want to elicit a groan and an eye roll from almost anyone in the field of education, you need only whisper two words: test prep. Standardized testing is a reality across the country, but even for those who can see its value, the testing is time consuming and can be soul-crushing for teachers and students.</p>
<p>At Warrenton Grade School, a Makerspace was established at the end of last year as a way to create opportunities for hands-on learning. It is housed in the art room, and teachers can bring their classes to work on projects. With this space available, we decided to bundle SBAC Test Prep with fun projects that keep the curriculum hands-on and simultaneously help students build background knowledge for performance tasks they will face.</p>","<p>Diana Widdows is in her second year as a K-8 Library Media Specialist at Warrenton Grade School. She has taught third grade and elementary technology classes and has run summer library programs as well as makerspace camps. She helps coach two ROV (Remotely Operated Vehicles) teams who design, build, and compete with their underwater robots. When not working she loves to hike, garden, draw, and, of course, read.</p>",,TRUE,2018-04-06 00:00,© 2018 Diana Widdows,,olaq1920,,Pacific University Libraries,1093-7374,olaq,Diana,,Widdows,,widdowsd@warrentonk12.org,Warrenton Grade School,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/9,11917876,olaq/vol23/iss4,1532623809
What Did We Learn? Youth and Family Programs at Deschutes Public Library,"Oregon, Oregon libraries, academic library, libraries, librarians, northwest, information science, information literacy, social media, writing, library trends, books, donors, library funding, Oregon library association, quarterly, Oregon library association quarterly, American library association, ala, ola, reading, library success, success, evolving roles, OSU, Oregon state, University, web services, public, new discipline, changes in libraries, career, careers, library careers, library career, libraries, professional journal, scholarly, academic, circulation, public, Portland, Oregon, Multnomah County Library, innovative, inventive, solution, success, oregon librarians, librarian, political, politics, political action, association, civics, civic education, inspiring, engagement, role, participation, skills, create, creating, resources, develop, source, evaluate, evaluation, evaluating, programming, takeaway, program, programs, esther moberg, makerspace, homeless, patrons, stem, steam, money smart, resource sharing, unlock the box, lockbox, adulting 101, procrastination, takeover, nerf, youth, family, Heather McNeil, Deschutes public library, bend, Redmond, storytime, storyteller, royal tea party, librarian of the year, how-to fest, llama, llamas, peed, fandom Halloween party, overnight at the library, gingerbread house, fairies, steam, stem, leer, creer, jugar, sensory, spanish",Adult and Continuing Education; Archival Science; Cataloging and Metadata; Collection Development and Management; Early Childhood Education; Education; Information Literacy; Library and Information Science,article,https://doi.org/10.7710/1093-7374.1921,23,4,30,34,,"<p>A four-year-old in a sparkly dress and tiara. Patrons loudly hammering on leather strips. Sleepy faces peering up from sleeping bags. Teens geeking out over Sherlock and anime characters. Llamas peeing on the carpet.</p>
<p>Wait. What? Llamas in the library? Surely not. Who would bring llamas in the library?</p>
<p>That would be me. And it’s just one of the many things I’ve learned over the years about youth programs, good, bad, and ugly. Let’s start with the good.</p>
<p>Probably number one on the adorable scale is our annual Royal Tea Party. We invite children to dress in their finest and have the chance to meet the “Queen.” The first year we did this, my mother played that part, and she relished every one of the curtsies and bows she received as the children walked down the royal red carpet. Now we have library staff who volunteer to play the part. After the greeting, everyone sits at linen-covered tables and is served juice, cheese cubes, and cookies. The cutlery is plastic, but the serving dishes are silver and china, donated by library staff for the event. There is brief entertainment: a story at the beginning and gentle recorded harp music in the background during tea. Patrons must pre-register, and we’re always full.</p>
<p>What did we learn? Read on to find out.</p>","<p>Heather McNeil has been the Youth Services Manager at Deschutes Public Library for 19 years. She is the recipient of OLA’s 2014 Librarian of the Year and the 2017 Evelyn Sibley Lampman Award, and she served on the 2005 Newbery and 2018 Caldecott Committees. She says that the best part of her week is Toddlin’ Tales, when she sings, reads, and acts silly with a room full of curious and adorable toddlers. Heather lives in Bend with two very weird cats and looks forward to visits from her daughter, who is at Pacific Lutheran University. She just finished reading Wild Beauty by Anna-Marie McLemore and thought it was absolutely gorgeous!</p>",,TRUE,2018-04-06 00:00,© 2018 Heather McNeil,,olaq1921,,Pacific University Libraries,1093-7374,olaq,Heather,,McNeil,,heatherm@dpls.lib.or.us,Deschutes Public Library,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.pacificu.edu/olaq/vol23/iss4/10,11918160,olaq/vol23/iss4,1532623842
